,,,sa - 1 - mesh,,sa - 1 - 1hop,, sa - 10 - mesh,,sa - 10 - 1hop,, sa - 100 - mesh,,sa - 100 - 1hop,, sa - 1000 - mesh,,sa - 1000 - 1hop,, 
Bench,N Edges,Visited Edges,Dist Total_x,Edges > 0_x,Num Annotations_x,th_x,Iters_x,Dist Total_y,Edges > 0_y,Num Annotations_y,th_y,Iters_y,Dist Total_x,Edges > 0_x,Num Annotations_x,th_x,Iters_x,Dist Total_y,Edges > 0_y,Num Annotations_y,th_y,Iters_y,Dist Total_x,Edges > 0_x,Num Annotations_x,th_x,Iters_x,Dist Total_y,Edges > 0_y,Num Annotations_y,th_y,Iters_y,Dist Total_x,Edges > 0_x,Num Annotations_x,th_x,Iters_x,Dist Total_y,Edges > 0_y,Num Annotations_y,th_y,Iters_y
tree50-8x8-MC=1,50,-1,5,4,0,50.005003502451714,508032,0,0,0,66.64887940234792,508032,2,2,0,99.8999799959992,508032,0,0,0,66.64887940234792,508032,2,2,0,99.8999799959992,508032,0,0,0,66.64887940234792,508032,1,1,0,99.8999799959992,508032,0,0,0,66.64887940234792,508032
dag24-5x5-MC=1,29,-1,3,2,0,74.95498199279712,193500,2,2,0,79.95839667173374,193500,1,1,0,99.93998799759952,193500,0,0,0,99.94999499949995,193500,1,1,0,99.93998799759952,193500,0,0,0,99.94999499949995,193500,1,1,0,99.93998799759952,193500,0,0,0,99.94999499949995,193500
tree42-7x7-MC=1,42,-1,5,4,0,49.969963956748096,386904,0,0,0,66.6310873915944,386904,3,3,0,49.98498648783906,386904,0,0,0,66.6310873915944,386904,1,1,0,49.98498648783906,386904,0,0,0,66.6310873915944,386904,1,1,0,49.98498648783906,386904,0,0,0,66.6310873915944,386904
conv3,32,-1,5,5,0,74.94938891804753,282240,0,0,0,99.93002099370189,282240,4,4,0,99.92003198720512,282240,0,0,0,99.93002099370189,282240,3,3,0,99.92003198720512,282240,0,0,0,99.93002099370189,282240,3,3,0,99.92003198720512,282240,0,0,0,99.93002099370189,282240
ewf,82,-1,18,14,0,66.59551760939168,644760,5,5,0,79.91039283142652,644760,12,11,0,66.60442784742598,644760,2,2,0,79.91039283142652,644760,10,9,0,66.59109095758869,644760,1,1,0,79.91039283142652,644760,8,7,0,66.60442784742598,644760,0,0,0,79.91039283142652,644760
BBT-h3,14,-1,2,2,0,99.97999599919984,120840,0,0,0,99.97999599919984,120840,2,2,0,99.97999599919984,120840,0,0,0,99.97999599919984,120840,2,2,0,99.97999599919984,120840,0,0,0,99.97999599919984,120840,2,2,0,99.97999599919984,120840,0,0,0,99.97999599919984,120840
dag59-8x8,68,-1,16,14,0,74.94373593398349,508032,1,1,0,79.96158770806659,508032,14,7,0,74.93249324932492,508032,1,1,0,79.96158770806659,508032,6,4,0,79.952,508032,0,0,0,99.93998799759952,508032,3,2,0,79.94879180668907,508032,0,0,0,99.93998799759952,508032
fir2,39,-1,2,2,0,99.9000599640216,386904,0,0,0,99.92003198720512,386904,2,2,0,99.9000599640216,386904,0,0,0,99.92003198720512,386904,1,1,0,99.91004497751125,386904,0,0,0,99.92003198720512,386904,1,1,0,99.91004497751125,386904,0,0,0,99.92003198720512,386904
tree40-7x7-MC=1,40,-1,1,1,0,49.98999599839936,386904,0,0,0,66.63554518172724,386904,1,1,0,49.98999599839936,386904,0,0,0,66.63554518172724,386904,1,1,0,49.98999599839936,386904,0,0,0,66.63554518172724,386904,1,1,0,49.98999599839936,386904,0,0,0,66.63554518172724,386904
dag41-7x7,45,-1,6,5,0,66.63999466559979,386904,0,0,0,99.91998399679936,386904,2,2,0,99.9099909990999,386904,0,0,0,99.91998399679936,386904,1,1,0,99.91998399679936,386904,0,0,0,99.91998399679936,386904,0,0,0,99.91998399679936,386904,0,0,0,99.91998399679936,386904
dag15-4x4,17,-1,0,0,0,99.97999599919984,120840,0,0,0,99.97999599919984,120840,0,0,0,99.97999599919984,120840,0,0,0,99.97999599919984,120840,0,0,0,99.97999599919984,120840,0,0,0,99.97999599919984,120840,0,0,0,99.97999599919984,120840,0,0,0,99.97999599919984,120840
BBT-h2-MC=1,7,-1,1,1,0,66.66222162955061,64476,0,0,0,99.98999899989998,64476,1,1,0,66.66222162955061,64476,0,0,0,99.98999899989998,64476,1,1,0,66.66222162955061,64476,0,0,0,99.98999899989998,64476,1,1,0,66.66222162955061,64476,0,0,0,99.98999899989998,64476
